specimen_name	population
Laos2017-01	arbitrary_pop1
Laos2017-02	arbitrary_pop1
Laos2017-03	arbitrary_pop1
Laos2017-04	arbitrary_pop1
Laos2017-05	arbitrary_pop1
Laos2017-06	arbitrary_pop1
Laos2017-07	arbitrary_pop1
Laos2017-08	arbitrary_pop1
Laos2017-09	arbitrary_pop1
Laos2017-10	arbitrary_pop1
Laos2017-11	arbitrary_pop2
Laos2017-12	arbitrary_pop2
Laos2017-13	arbitrary_pop2
Laos2017-14	arbitrary_pop2
Laos2017-15	arbitrary_pop2
Laos2017-16	arbitrary_pop2
Laos2017-17	arbitrary_pop2
Laos2017-18	arbitrary_pop2
Laos2017-19	arbitrary_pop2
Laos2017-20	arbitrary_pop2
Laos2017-21	arbitrary_pop2
Laos2017-22	arbitrary_pop2
Laos2017-23	arbitrary_pop2
Laos2017-24	arbitrary_pop2
Laos2017-25	arbitrary_pop2
