specimen_id	within_host_rel
Laos2017-01	
Laos2017-02	
Laos2017-03	
Laos2017-04	
Laos2017-05	0.1819857725928149
Laos2017-06	0.997757421200534
Laos2017-07	
Laos2017-08	
Laos2017-09	
Laos2017-10	0.9983961194988312
Laos2017-11	
Laos2017-12	
Laos2017-13	
Laos2017-14	0.9623632963859674
Laos2017-15	0.1047385213900341
Laos2017-16	0.9999629569670916
Laos2017-17	
Laos2017-18	0.9451327174901962
Laos2017-19	
Laos2017-20	0.1024629348248709
Laos2017-21	0.0768981279752915
Laos2017-22	0.980658213297526
Laos2017-23	
Laos2017-24	0.9495551321241592
Laos2017-25	
